"Botanical.Name","ht.max","dbh","cw"
"Quercus falcata",36.45,56.6591715283207,NA
"Quercus falcata",37.03,81.805657768418,NA
"Quercus falcata",37.12,71.3014293390103,NA
"Fraxinus americana",39.08,85.6253771972936,NA
"Carya cordiformis",38.62,75.1211487678858,NA
"Quercus velutina",34.81,67.1633999577284,NA
"Quercus velutina",34.96,74.4845288630732,NA
"Juglans nigra",34.08,58.8873411951647,NA
"Tilia americana var. caroliniana",31.55,81.805657768418,NA
"Frangula caroliniana",7.1,10.5042284294078,NA
"Quercus pagoda",40.02,90.400026483388,NA
"Quercus pagoda",40.69,92.9465061026384,NA
"Quercus pagoda",42.43,89.7634065785754,NA
"Symplocos tinctoria",16.89,26.7380360021289,NA
"Symplocos tinctoria",16.95,23.5549364780659,NA
"Symplocos tinctoria",17.07,25.1464862400974,NA
"Pinus taeda",37.46,92.9465061026384,NA
"Carya tomentosa",33.8,79.8957980539803,NA
"Carya tomentosa",36.94,57.2957914331333,NA
"Quercus rubra",35.05,72.8929791010418,NA
"Quercus rubra",36.21,65.571850195697,NA
"Quercus stellata",32.46,63.0253705764466,NA
"Quercus stellata",33.19,58.8873411951647,NA
"Pinus echinata",32.46,76.7126985299173,NA
"Pinus echinata",34.11,79.2591781491677,NA
"Quercus shumardii",39.23,93.9014359598573,NA
"Quercus falcata",34.26,87.2169269593251,NA
"Quercus falcata",35.17,84.0338274352621,NA
"Quercus falcata",38.86,70.3464994817914,NA
"Quercus michauxii",36.21,71.3014293390103,NA
"Quercus alba",36.94,76.7126985299173,NA
"Quercus alba",37.89,67.1633999577284,NA
"Quercus alba",38.65,60.7972009096025,NA
"Quercus alba",40.05,85.6253771972936,NA
"Ulmus alata",32.4,55.0676217662892,NA
"Ulmus alata",34.29,35.6507146695051,NA
"Nyssa sylvatica",29.69,49.9746625277885,NA
"Quercus pagoda",30.85,83.3972075304495,NA
"Quercus pagoda",33.47,76.0760786251047,NA
"Pinus taeda",28.8,72.8929791010418,NA
"Pinus taeda",30.48,76.7126985299173,NA
"Pinus taeda",31.58,83.3972075304495,NA
"Pinus taeda",32.49,78.3042482919488,NA
"Pinus taeda",32.74,76.7126985299173,NA
"Pinus taeda",33.1,74.4845288630732,NA
"Pinus taeda",33.16,72.8929791010418,NA
"Pinus taeda",35.2,82.4422776732306,NA
"Carya illinoinensis",22.65,97.7211553887328,NA
